offer_id,title,brand,product_type,exclude_reason
S-AWST24SU1305A,Solace 2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1305A,Solace,solace,Brand not allowed: Solace
TK800E-60,Refrigerant Charging Hoses w/ Shut Off Valves,,tools,Brand not allowed: BLANK
S-GZV6SA2410,Solace 2 Ton 16.2 SEER2 R-32 Heat Pump - S-GZV6SA2410,Solace,solace,Brand not allowed: Solace
7381745634635091392,GOODMAN 3 Ton Variable Capacity 17.5 SEER2 R-32 96% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
S-GPHM32431,Solace 2 Ton 13.4 SEER2 Packaged Heat Pump - S-GPHM32431,Solace,solace,Brand not allowed: Solace
C160,Residential Combustion Meter,UEI,tools,Brand not allowed: UEI
3MXM24AVJU9,Daikin MXM 24K BTU 3-Zone Heat Pump R-32,Daikin,daikin,Brand not allowed: Daikin
T-200M,Amrad Turbo 200 Mini,,hvac parts supplies,Brand not allowed: BLANK
Y644,6 x 4 x 4 Wye,Southwark,hvac parts supplies,Brand not allowed: Southwark
PLENUCD,"D Width Air Handler Supply Plenum (12.13 X 22.75 X 36) 13"" x 22""",,hvac parts supplies,Brand not allowed: BLANK
DL379B,Dual Display HVAC Clamp Meter,UEI,tools,Brand not allowed: UEI
CAP455MF,45/5 MF / 440 VA 440V 45+5 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
1009822755951715453,GOODMAN 2 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Horizontal Coil),Goodman,,Title indicates parts/supplies
12TRACFLM,"1/2"" Trac Pipe Floor Mount Fittings",,hvac parts supplies,Brand not allowed: BLANK
"S-GLXS5BA3610,S-GR9S920603BNA,S-CHPTA3630B3",SOLACE 3 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
"S-GLZS5BA3610,S-AWST36LU1308",SOLACE 3 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
PF1420,14x20x1” Pleated Filter,GlassFloss,hvac parts supplies,Brand not allowed: GlassFloss
Y1088,10 x 8 x 8 Wye,Southwark,hvac parts supplies,Brand not allowed: Southwark
CE81410,8x14x10 Center End Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLZS5BA1810,S-AWST18SU1305",SOLACE 1.5 Ton 15.2 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
"RP15AY36AJ2NA, RH2TY3617STANNJ, WRX10021",Rheem R-454B 3.0 Ton 15.2 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
"S-GLZS5BA2410,S-AMST24BU13",SOLACE 2 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
"S-GLXS4BA3010,S-GR9S920603BNA,S-CHPTA3026B3",SOLACE 2.5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
SCHRVLV6,Schrader Valves (6-Pack),,hvac parts supplies,Brand not allowed: BLANK
WCAULK,White Caulk,,hvac parts supplies,Brand not allowed: BLANK
GRAY-PAINT,Gray Rust-oleum Spray Paint For Gas Meters,,hvac parts supplies,Brand not allowed: BLANK
S-AWST30LU1308A,Solace 2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1308A,Solace,solace,Brand not allowed: Solace
4293832398256304648,GOODMAN 5 Ton Variable Capacity 17.5 SEER2 R-32 96% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
S-GPHM53631,Solace 3 Ton 15.2 SEER2 Packaged Air Conditioner - S-GPHM53631,Solace,solace,Brand not allowed: Solace
DL419,AC/DC 1000A True RMS Clamp Meter,UEI,tools,Brand not allowed: UEI
MASBRS01,Mastic Brush,,hvac parts supplies,Brand not allowed: BLANK
FR16251,16 x 25 x 1 Filter Rack,,hvac parts supplies,Brand not allowed: BLANK
"S-GZV7SA2410,S-AHVE36CP1300,S-GTST-CW-WH-A",SOLACE 2 Ton 17.5 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
DIY-12-HP-WM-115D25-O,MRCOOL 12k DIY 5th Generation Mini-split Air Handler & Condenser 115v,MRCOOL,mrcool > mrcool,Brand not allowed: MRCOOL
EM720SPKIT,Hi-Res Differential Manometer Static Pressure Kit,UEI,tools,Brand not allowed: UEI
SWP205,20” X 3' Snaplock Singlewall Pipe,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
14SW90,"14"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
GAS12TEE,½” Tee,,hvac parts supplies,Brand not allowed: BLANK
GPHM33031,Goodman 2.5 Ton 13.4 SEER2 Packaged Heat Pump - GPHM33031,Goodman,goodman 1,Title indicates parts/supplies
SPY600917CF,Spyder Tarantula 4-1/2-in Carbide-tipped Non-arbored Hole Saw,Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
GASCNIP12,½” Close fitting,,hvac parts supplies,Brand not allowed: BLANK
S-GPCH36031,Solace 5 Ton 13.4 SEER2 Packaged Air Conditioner - S-GPCH36031,Solace,solace,Brand not allowed: Solace
AAC1625,Aprilaire 1410 Media Air Cleaner (16x25),Aprilaire,hvac parts supplies > april aire filter cabinets,Brand not allowed: Aprilaire
GASNIP346,3/4” x 6” fitting,,hvac parts supplies,Brand not allowed: BLANK
"S-GLZS5BA2410,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 2 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
QFLSHUB,Quick Flash Long Line Set Cover (Brick Siding) A/C-UB,Quickflash,hvac parts supplies,Brand not allowed: Quickflash
QFLSH4,"Quick Flash 4"" Blue Plate P-300",Quickflash,hvac parts supplies,Brand not allowed: Quickflash
MRFILTER01,MRBREEZE Replacement Filter,MRCOOL,,Brand not allowed: MRCOOL
S-GZV6SA4210,Solace 3.5 Ton 16.2 SEER2 R-32 Heat Pump - S-GZV6SA4210,Solace,solace,Brand not allowed: Solace
15025351198921527174,GOODMAN 3.5 Ton Variable Capacity 17.5 SEER2 R-32 96% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
AAPLEN1410,1410 April Aire Return Support Plenum Box (17.5 X 28 X 22.5),Aprilaire,hvac parts supplies,Brand not allowed: Aprilaire
END1224,"End Cap Only (12 X 24) 12"" x 24"" HVAC Duct",,hvac parts supplies,Brand not allowed: BLANK
DL579,600A Dual Display TRMS-Clamp w/ Temp/Capacitance,UEI,tools,Brand not allowed: UEI
