brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7375,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7375/1724273597.1280.1280__08840.1724273746.386.513.jpg?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7376,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7376/1724273597.1280.1280__98288.1724273746.386.513.png?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
Goodman,2566,GLXS4BA4810,Goodman GLXS4BA4810 4 Ton R-32 Air Conditioner,7377,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2566/images/7377/1724273597.1280.1280__20649.1724273746.386.513.jpg?c=1,description,,Goodman GLXS4BA4810 4 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7378,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7378/1724273597.1280.1280__24090.1724273745.1280.1280__24402.1724273876.386.513.jpg?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7379,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7379/1724273597.1280.1280__66780.1724273745.1280.1280__93339.1724273876.386.513.jpg?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7380,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7380/1724273597.1280.1280__08840.1724273746.1280.1280__42908.1724273876.386.513.jpg?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7381,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7381/1724273597.1280.1280__20649.1724273746.1280.1280__86227.1724273876.386.513.jpg?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7382,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7382/1724273597.1280.1280__29605.1724273745.1280.1280__54176.1724273876.386.513.jpg?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2567,GLXS4BA6010,Goodman GLXS4BA6010 5 Ton R-32 Air Conditioner,7383,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2567/images/7383/1724273597.1280.1280__98288.1724273746.1280.1280__09141.1724273876.386.513.png?c=1,description,,Goodman GLXS4BA6010 5 Ton R 32 Air Conditioner,updated,
Goodman,2568,AMST24BU13,Goodman AMST24BU13 2 Ton R-32 Multi-Position Air Handler,7384,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2568/images/7384/Goodman-AMST24BU1400-2-Ton-Multi-Positional-Air-Handler-with-Multi-Speed-ECM-Motor-Front-Angled-View-4_600x__30833.1681496173.1280.1280__20435.1724335616.386.513.jpg?c=1,description,,Goodman AMST24BU13 2 Ton R 32 Multi Position Air Handler,updated,
