offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
GPHM54831,Goodman 4 Ton 15.2 SEER2 Packaged Air Conditioner - GPHM54831,Goodman,0 USD,in stock,goodman 1,,GPHM54831,new,,,True,goodman,False,,,GTIN
12141112918501944041,"SOLACE 5 Ton 17.5 SEER2 R-32 96% AFUE 100,000 BTU Dual Fuel System (Upflow Coil)",Solace,0 USD,in stock,,,,new,,,True,solace,False,,,"GTIN, MPN"
S-CAPTA2422B3,Solace 2 Ton R-32 Upflow Evaporator Coil - S-CAPTA2422B3,Solace,0 USD,in stock,solace,,S-CAPTA2422B3,new,,,True,solace,False,,,GTIN
"S-GLXT7CA4810,S-CHPTA6030D3,S-GRVT800804CN","SOLACE 4 Ton 17.2 SEER2 R-32 80% AFUE 80,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,0 USD,in stock,solace,,"S-GLXT7CA4810, S-CHPTA6030D3, S-GRVT800804CN",new,,,True,solace,False,,,GTIN
"GLZS5BA3010, GR9S800603ANA, CHPTA3026B3",GOODMAN 2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS5BA3010, GR9S800603ANA, CHPTA3026B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
C165+OILKIT,UEi C165+OILKIT Combustion Analyzer Kit for Oil-Fired Appliances with Printer,UEI,0 USD,in stock,tools,,C165+OILKIT,new,,,False,,False,,,GTIN
END310,"End Cap Only (3.25 X 10) 25"" x 10"" HVAC Duct",,0 USD,in stock,hvac parts supplies,,END310,new,,,False,,False,,,GTIN
S-GPGM36012031,Solace 5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM36012031,Solace,0 USD,in stock,solace,,S-GPGM36012031,new,,,True,solace,False,,,GTIN
"GLZS5BA6010, GR9S921005CNA, CAPT6030C3",GOODMAN 5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Upflow / Vertical Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS5BA6010, GR9S961005CNA, CAPT6030C3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GAS12UN,½” Unions,,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
FTXC09AXVJU,Daikin ENTRA Series 9K BTU Hi-Wall Fan Coil,Daikin,0 USD,in stock,daikin,,FTXC09AXVJU,new,,,True,daikin,False,,,GTIN
"S-GLXS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,0 USD,in stock,solace,,"S-GLXS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
12TRACRL,1/2” Trac Pipe 100' Roll,,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
SAFT01,RectorSeal SS2 Condesation Overflow Switch for the Auxiliary Port of the Coil Primary Drain Pan,,0 USD,in stock,hvac parts supplies,,SAFT01,new,,,False,,False,,,GTIN
GR9S960804CNA,"Goodman 80,000 BTU Gas Furnace 96% AFUE Single-Stage - GR9S960804CNA",Goodman,0 USD,in stock,goodman 1,,GR9S960804CNA,new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GLXT7CA3610, AMVT36BP1300",GOODMAN 3 Ton 17.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXT7CA3610, AMVT36BP1300, HKTSN10X1",new,,,True,goodman,False,,,GTIN
RP14AY60AJ2NA,RHEEM 5.0 Ton 14.3 SEER2 Two-Stage Heat Pump,Rheem,0 USD,in stock,rheem,,RP14AY60AJ2NA,new,,,True,rheem,True,RP14,Rheem RP14 Heat Pump,GTIN
CAP125MF,12.5 MF / 440 VA 440V 12.5 MFD HVAC Capacitor,Hartland Controls,0 USD,in stock,hvac parts supplies,,CAP125MF,new,,,False,,False,,,GTIN
CT-200,HydroBalance Ever-Clean Condensate Pan Tabs 200 Count Jar,HydroBalance,0 USD,in stock,hvac parts supplies,,CT-200,new,,,False,,False,,,GTIN
11623819713664507931,GOODMAN 5 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
GASNIP122,1/2” x 2” fitting,,0 USD,in stock,hvac parts supplies,,,new,,,False,,False,,,"GTIN, MPN"
10-406-ASD,"10"" Saddle Collar with Scoop and Damper",,0 USD,in stock,hvac parts supplies,,10-406-ASD,new,,,False,,False,,,GTIN
FRG148,14 x 8 Floor Return Grille Brown,Airscape,0 USD,in stock,hvac parts supplies,,FRG148,new,,,False,,False,,,GTIN
AWST24SU1310A,Goodman AWST24SU1310A Wall-Mount Air Handler,Goodman,0 USD,in stock,goodman 1,,AWST24SU1310A,new,,,True,goodman,False,,,GTIN
GPGM32406031,Goodman 2 Ton 13.4 SEER2 Packaged Gas/Electric - GPGM32406031,Goodman,0 USD,in stock,goodman 1,,GPGM32406031,new,,,True,goodman,False,,,GTIN
COUP34,"3/4 "" Copper Coupling",American Air Components,0 USD,in stock,hvac parts supplies > copper fittings solder refrigerant accessories,,COUP34,new,,,False,,False,,,GTIN
