offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
"GLZS5BA3010, GR9S800603ANA, CAPTA3022A3",GOODMAN 2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLZS5BA3010, GR9S800603ANA, CAPTA3022A3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"RP15AY24AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",Rheem 2.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,0 USD,in stock,rheem,,"RP15AY24AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",new,,,True,rheem,False,,,GTIN
"GLXT7CA4810, CHPTA6030D3, GRVT960804CN",GOODMAN 4 Ton 17.2 SEER2 R-32 97.0% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,goodman 1,,"GLXT7CA4810, CHPTA6030D3, GRVT960804CN",new,,,True,goodman,False,,,GTIN
FTXQ12ASBU9,Daikin OTERRA Series 12K BTU Hi-Wall Fan Coil R-32,Daikin,0 USD,in stock,daikin,,FTXQ12ASBU9,new,,,True,daikin,False,,,GTIN
"S-GLXS5BA4810,S-GR9S920804CNA,S-CAPTA6030C3",SOLACE 4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Solace,0 USD,in stock,solace,,"S-GLXS5BA4810,S-GR9S920804CNA,S-CAPTA6030C3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
1326637527177697116,GOODMAN 3.5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"RP14AY60AJ2NA, R921T1155A24M4SNAS, RCFY6024STANMC",Rheem 5.0 Ton Dual Fuel System - 14.3 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,Rheem,0 USD,in stock,rheem,,"RP14AY60AJ2NA, R921T1155A24M4SNAS, RCFY6024STANMC",new,,,True,rheem,True,RP14,Rheem RP14 Heat Pump,GTIN
4953234708896716933,GOODMAN 4 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Upflow Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
R921T0703A17M4SNAS,"RHEEM R921T0703A17M4SNAS - 70,000 BTU 92% AFUE Single Stage Furnace",Rheem,0 USD,in stock,rheem,,R921T0703A17M4SNAS,new,,,True,rheem,False,,,GTIN
GLXS3BN4810,Goodman GLXS3BN4810 4 Ton R-32 Air Conditioner,Goodman,0 USD,in stock,goodman 1,,GLXS3BN4810,new,,,True,goodman,False,,,GTIN
"S-GLXS5BA6010,S-GR9S921005CNA,S-CHPTA6030D3",SOLACE 5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,0 USD,in stock,solace,,"S-GLXS5BA6010,S-GR9S921005CNA,S-CHPTA6030D3",new,,,True,solace,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GLXS5BA3010, GR9S800603ANA, CAPTA3022A3",GOODMAN 2.5 Ton 15.2 SEER2 R-32 80% AFUE AC System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA3010, GR9S800603ANA, CAPTA3022A3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"GLXS5BA4810, GR9S800804CNA, CAPTA6030C3",GOODMAN 4 Ton 15.2 SEER2 R-32 80% AFUE AC System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS5BA4810, GR9S800804CNA, CAPTA6030C3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
GXV6SS3610,Goodman 3 Ton R-32 Air Conditioner Condenser - GXV6SS3610,Goodman,0 USD,in stock,goodman 1,,GXV6SS3610,new,,,True,goodman,False,,,GTIN
