id	excluded_destination
DL579	Shopping_ads
RSWG146	Shopping_ads
DT720	Shopping_ads
H-2600	Shopping_ads
AA163W	Shopping_ads
CD100A	Shopping_ads
511KIT	Shopping_ads
MPA5285G0040401	Shopping_ads
GASCNIP34	Shopping_ads
12SADDLE	Shopping_ads
AA50RLY	Shopping_ads
HA1	Shopping_ads
UNIS92	Shopping_ads
RED1210	Shopping_ads
78INSUV	Shopping_ads
CAP405MF	Shopping_ads
10SADDLE	Shopping_ads
PLENAHSC	Shopping_ads
GAS1CAP	Shopping_ads
MSL1450	Shopping_ads
JQK19W	Shopping_ads
ELECTPE	Shopping_ads
ZC-02	Shopping_ads
GASR3412	Shopping_ads
WSTK31036	Shopping_ads
GHB-9-2	Shopping_ads
34LTFIT	Shopping_ads
CAP403MF	Shopping_ads
GASNIP14	Shopping_ads
GM3465	Shopping_ads
55800	Shopping_ads
ZIPTIE36	Shopping_ads
UNIHSI1	Shopping_ads
520KIT	Shopping_ads
R806	Shopping_ads
BSPLEN	Shopping_ads
AAC2020	Shopping_ads
SLVRTP01	Shopping_ads
BRSCAP6	Shopping_ads
AA6203K	Shopping_ads
AA-80PT-DEHU	Shopping_ads
H-SG25	Shopping_ads
DTHA2	Shopping_ads
CAP255MF	Shopping_ads
OC141412	Shopping_ads
R616	Shopping_ads
PF2025	Shopping_ads
SPY19025	Shopping_ads
RED1412	Shopping_ads
HUB8	Shopping_ads
AAA	Shopping_ads
PVCPRM1	Shopping_ads
GASNIP124	Shopping_ads
08-406-ASD	Shopping_ads
3PVCC	Shopping_ads
PF2022	Shopping_ads
PF1620	Shopping_ads
70082	Shopping_ads
C161OIL	Shopping_ads
R812	Shopping_ads
MSL145850	Shopping_ads
2DWRAP	Shopping_ads
LIQVALV	Shopping_ads
GAS341212T	Shopping_ads
LS7825	Shopping_ads
3WAY146	Shopping_ads
COUP78	Shopping_ads
38HEX01	Shopping_ads
BBLWRN01	Shopping_ads
DCTTP01	Shopping_ads
TK800-60	Shopping_ads
H-401	Shopping_ads
RED53	Shopping_ads
102WIRE1	Shopping_ads
CS-100	Shopping_ads
CAP505MF	Shopping_ads
H-1101	Shopping_ads
CAP20MF	Shopping_ads
CAP5MF	Shopping_ads
1FLTMTLS	Shopping_ads
FG1414	Shopping_ads
AAC2520	Shopping_ads
PG8J936D210B1805AP	Shopping_ads
18COL	Shopping_ads
CLRTUB01	Shopping_ads
AA62	Shopping_ads
GASNIP1212	Shopping_ads
UVF4	Shopping_ads
ROSSI14	Shopping_ads
AAH800	Shopping_ads
14WIRE250	Shopping_ads
106STACK	Shopping_ads
SLVRTPR	Shopping_ads
RED1614	Shopping_ads
FF-32	Shopping_ads
RDWRN01	Shopping_ads
GAS3490	Shopping_ads
34PVCCP	Shopping_ads
GAS34CAP	Shopping_ads
14-406-A	Shopping_ads
34PVCM	Shopping_ads
2X2DBOARD112-1	Shopping_ads
38WSHR1	Shopping_ads
34PVCT	Shopping_ads
COA2	Shopping_ads
GASNIP126	Shopping_ads
12-310	Shopping_ads
91496	Shopping_ads
PF2020	Shopping_ads
COUP38	Shopping_ads
MAST01	Shopping_ads
H-PO15	Shopping_ads
VIBPAD1	Shopping_ads
DIY-18-HP-WM-230D25-O	Shopping_ads
20SW90	Shopping_ads
ELB38	Shopping_ads
4ROOF	Shopping_ads
CSRU1	Shopping_ads
PAN2424	Shopping_ads
SPY600880	Shopping_ads
AA-8126	Shopping_ads
DM525	Shopping_ads
DT304	Shopping_ads
GASPRS1	Shopping_ads
Y121010	Shopping_ads
90FLMSN	Shopping_ads
12WIRE250	Shopping_ads
34TRACFLM	Shopping_ads
34ROME	Shopping_ads
GM3464	Shopping_ads
20A115	Shopping_ads
SWCAP4	Shopping_ads
R814	Shopping_ads
AA	Shopping_ads
GAS13434T	Shopping_ads
CAP303MF	Shopping_ads
GASNIP3412	Shopping_ads
SWCAP8	Shopping_ads
WSTK31436	Shopping_ads
AA143W	Shopping_ads
D SB PVC CEMENT	Shopping_ads
SPY600634P	Shopping_ads
PRSWTUB	Shopping_ads
906106	Shopping_ads
CE6148	Shopping_ads
HVYRCP48	Shopping_ads
DAFM3B	Shopping_ads
3428BARB	Shopping_ads
PF1425	Shopping_ads
GAS190	Shopping_ads
ELB78	Shopping_ads
DIY-36-HP-WM-230D25-O	Shopping_ads
TRAN40VA	Shopping_ads
AABYP08	Shopping_ads
JQK10	Shopping_ads
R816	Shopping_ads
WI-70	Shopping_ads
ROSSLV4	Shopping_ads
EM201B	Shopping_ads
34PVCP	Shopping_ads
CONPL1	Shopping_ads
Y1086	Shopping_ads
