product_id,title,brand,price,gtin,mpn,campaign,impressions,clicks,cost,conversions,conv_value,roas,cpc,has_brand_in_title,matched_brand,in_merchant_center
gzv7sa3610,GOODMAN GZV7SA3610 - 3.0 Ton 17.5 SEER2 Variable-Speed Heat Pump,goodman,,,,Products merchant campaign,2569,36,49.643987,0.0,0.0,0.0,1.378999638888889,True,goodman,False
grvt960804cn,Goodman 96% AFUE Gas Furnace - GRVT960804CN,goodman,,,,Products merchant campaign,657,7,49.19,0.0,0.0,0.0,7.027142857142857,True,goodman,False
"gxv6ss3010, ahve36cp1300, hktsn08x1, gtst-cw-wh-a",GOODMAN 2.5 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,goodman,,,,Products merchant campaign,1112,13,49.1,0.0,0.0,0.0,3.776923076923077,True,goodman,False
s-gr9s921005cn,Solace 92% AFUE Gas Furnace - S-GR9S921005CN,solace,,,,Products merchant campaign,170,3,48.84,0.0,0.0,0.0,16.28,True,solace,False
"rp15ay36aj2na, r801t0754a17uhsnas, rcfy3617stanmc",Rheem 3.0 Ton Dual Fuel System - 15.0 SEER2 Heat Pump & 80% AFUE Furnace,rheem,,,,Products merchant campaign,5758,43,48.71,0.0,0.0,0.0,1.1327906976744186,True,rheem,False
rxc18axvju,Daikin ENTRA 18 SEER2 18K BTU Heat Pump,daikin,,,,Products merchant campaign,1194,14,48.250709,0.0,0.0,0.0,3.446479214285714,True,daikin,False
"rp15ay30aj2na, r801t0754a17uhsnas, rcfy3617stanmc",Rheem 2.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,rheem,,,,Products merchant campaign,2402,22,48.238461,0.0,0.0,0.0,2.1926573181818183,True,rheem,False
gr9t801205dn,"Goodman 120,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T801205DN",goodman,,,,Products merchant campaign,4307,32,47.28931,0.0,0.0,0.0,1.4777909375,True,goodman,False
r921t0403a17m4snas,"RHEEM R921T0403A17M4SNAS - 40,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,3043,37,46.882908,0.0,3.9869732,0.08504108149605395,1.2671056216216217,True,rheem,False
"s-glxs4ba3010,s-awst30lu1310a",SOLACE 2.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler 10KW heat kit,solace,,,,Products merchant campaign,2169,12,46.59,0.0,0.0,0.0,3.8825000000000003,True,solace,False
ra14ay36aj1na,RHEEM 3.0 Ton 14.3 SEER2 Single-Stage Air Conditioner,rheem,,,,Products merchant campaign,3442,55,44.217405,0.0,0.0,0.0,0.8039528181818182,True,rheem,False
"ra14ay30aj1na, r921t0603a17m4snas, rcfy3617stanmc","Rheem 2.5 Ton AC System 14.3 SEER2 with 60,000 BTU 92% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,1637,20,44.13,0.0,0.0,0.0,2.2065,True,rheem,False
"s-glxs4ba3610, s-awst36su1310",SOLACE 3 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler 10KW heat kit,solace,,,,Products merchant campaign,1801,16,43.93,0.0,0.0,0.0,2.745625,True,solace,False
"glzs5ba3610, amst36bu13",GOODMAN 3 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,goodman,,,,Products merchant campaign,879,4,43.92,0.0,0.0,0.0,10.98,True,goodman,False
gd9s800403an,Goodman 80% AFUE 40000 BTU Single-Stage Multi-Speed Gas Furnace Downflow- GD9S800403AN,goodman,,,,Products merchant campaign,2076,12,42.98,0.0,0.0,0.0,3.5816666666666666,True,goodman,False
s-gr9s800603ana,Solace 80% AFUE Gas Furnace - S-GR9S800603ANA,solace,,,,Products merchant campaign,3345,23,42.6,0.0,0.0,0.0,1.8521739130434782,True,solace,False
ftxc09axvju,Daikin ENTRA Series 9K BTU Hi-Wall Fan Coil,daikin,,,,Products merchant campaign,2033,31,42.551168,0.0,0.0,0.0,1.372618322580645,True,daikin,False
"ra15ay30aj1na, rh2ty3617stannj, wrx07521","Rheem 2.5 Ton 14.3 SEER2 AC, Air Handler & 7kW Heat Kit System",rheem,,,,Products merchant campaign,8712,31,42.474608,0.0,0.0,0.0,1.3701486451612905,True,rheem,False
"s-glzs5ba3010,s-amst30bu13",SOLACE 2.5 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,solace,,,,Products merchant campaign,2010,4,42.351909,0.0,0.0,0.0,10.58797725,True,solace,False
"gzv6sa2410, ahve24bp1300, hktsn05x1, gtst-cw-wh-a",GOODMAN 2 Ton 16.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,goodman,,,,Products merchant campaign,804,13,42.31,0.0,0.0,0.0,3.2546153846153847,True,goodman,False
"ra14ay36aj1na, rh2ty3617stannj, wrx10021",Rheem 3.0 Ton AC System 14.3 SEER2 with Air Handler & 10kW Heat Kit - R-454B,rheem,,,,Products merchant campaign,3515,39,41.77,0.0,0.0,0.0,1.0710256410256411,True,rheem,False
r802v1255a24uhscap,"RHEEM R802V1255A24UHSCAP - 125,000 BTU 80% AFUE Two-Stage Furnace",rheem,,,,Products merchant campaign,3010,24,41.600992,0.0,0.0,0.0,1.7333746666666665,True,rheem,False
"glxs3bn2410, amst24bu13",GOODMAN 2 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,goodman,,,,Products merchant campaign,1016,9,41.13,0.0,0.0,0.0,4.57,True,goodman,False
"ra14ay42aj1na, rh2ty4821stannj, wrx10021",Rheem 3.5 Ton AC System 14.3 SEER2 with Air Handler & 10kW Heat Kit - R-454B,rheem,,,,Products merchant campaign,5254,27,41.019909,0.0,0.0,0.0,1.5192558888888887,True,rheem,False
"s-glxs4ba3010,s-awst30lu1308a",SOLACE 2.5 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,solace,,,,Products merchant campaign,960,6,39.97,0.0,0.0,0.0,6.661666666666666,True,solace,False
"ra16ay24aj2na, r801v0503a14uhscap, rcfy2414staamc","Rheem 2.0 Ton AC System 16 SEER2 with 50,000 BTU 80% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,1780,33,39.88,0.007139,32.2868414,0.8095998345035105,1.2084848484848485,True,rheem,False
"rp14ay36aj2na, r921t0603a17m4snas, rcfy3617stanmc","Rheem 3.0 Ton Heat Pump System 14.3 SEER2 with 60,000 BTU 92% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,3060,24,39.37,0.0,0.0,0.0,1.6404166666666666,True,rheem,False
"glxs5ba3010, amst30bu13",GOODMAN 2.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,goodman,,,,Products merchant campaign,2051,15,39.27,0.0,0.0,0.0,2.6180000000000003,True,goodman,False
3980938152083531104,GOODMAN 3.0 Ton 16.2 SEER2 R-32 80% AFUE Variable-Speed Inverter Air Conditioner System (Upflow Coil),goodman,,,,Products merchant campaign,4095,46,39.2,0.0,0.0,0.0,0.8521739130434783,True,goodman,False
"ra14ay60aj1na, rh2ty6024stannj, wrx10021","Rheem 5.0 Ton 14.0 SEER2 AC, Air Handler & 10kW Heat Kit System",rheem,,,,Products merchant campaign,2200,32,39.05,0.0,0.0,0.0,1.2203125,True,rheem,False
r962v1155a24m4scap,"RHEEM R962V1155A24M4SCAP - 115,000 BTU 96% AFUE Two-Stage Furnace",rheem,,,,Products merchant campaign,1093,15,38.435771,0.0,0.0,0.0,2.5623847333333334,True,rheem,False
"ra15ay24aj1na, rcfy2414staamc",Rheem 2.0 Ton 15.0 SEER2 AC & Evaporator Coil System,rheem,,,,Products merchant campaign,1273,21,38.43,0.0,0.0,0.0,1.83,True,rheem,False
"ra15ay60aj1na, r801t1255a24uhsnas, rcfy6024stanmc",Rheem 5.0 Ton 15.0 SEER2 AC & 80% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,2354,21,38.04,0.0,3.9869732,0.10481002103049422,1.8114285714285714,True,rheem,False
"ra14ay30aj1na, rh2ty3617stannj, wrx07521",Rheem 2.5 Ton AC System 14.3 SEER2 with Air Handler & 10kW Heat Kit - R-454B,rheem,,,,Products merchant campaign,2336,28,38.02,0.0,0.0,0.0,1.3578571428571429,True,rheem,False
