offer_id,current_title,new_title,brand
"GLXS3BN4810, AMST48CU13",GOODMAN 4 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,4 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler - Goodman,goodman
AMVT48CP1300,Goodman 4.0 Ton AMVT48CP1300 R-32 Multi-Position Variable-Speed Air Handler,4.0 Ton AMVT48CP1300 R-32 Multi-Position Variable-Speed Air Handler - Goodman,goodman
"S-GLXS5BA4810,S-GR9S920804CNA,S-CHPTA4830C3",SOLACE 4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,solace
1625073768606356541,GOODMAN GPGM56014031 - 5.0 Ton 15.2 SEER2 Two-Stage Package Unit,GPGM56014031 - 5.0 Ton 15.2 SEER2 Two-Stage Package Unit - Goodman,goodman
GLXS5BA6010,GOODMAN 5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA6010,5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA6010 - Goodman,goodman
AMVT42CP1300,Goodman 3.5 Ton AMVT42CP1300 R-32 Multi-Position Variable-Speed Air Handler,3.5 Ton AMVT42CP1300 R-32 Multi-Position Variable-Speed Air Handler - Goodman,goodman
"RA15AY30AJ1NA, RCFY3617STANMC",Rheem 2.5 Ton 15.0 SEER2 AC & Evaporator Coil System,2.5 Ton 15.0 SEER2 AC & Evaporator Coil System - Rheem,rheem
"S-GLXS5BA6010,S-GR9S801005CNA,S-CHPTA6030D3",SOLACE 5 Ton 15.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),5 Ton 15.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,solace
"S-GLZS4BA3010,S-AMST30BU13",SOLACE 2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace,solace
"S-GLXS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,solace
